contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
AAPL260206C00200000,AAPL,2026-02-06,200.00,call,77.93,76.82,75.05,1,78.60,1,1,70,2026-02-04,2.15141,0.98276,0.00097,-0.48908,0.00873,0.01068
AAPL260206P00200000,AAPL,2026-02-06,200.00,put,0.01,0.01,0.00,0,0.02,1,711,4503,2026-02-04,1.45875,-0.00113,0.00013,-0.02797,0.00077,-0.00002
AAPL260206C00205000,AAPL,2026-02-06,205.00,call,73.46,71.95,70.30,1,73.60,1,3,12,2026-02-04,2.13190,0.97592,0.00130,-0.63759,0.01159,0.01084
AAPL260206P00205000,AAPL,2026-02-06,205.00,put,0.00,0.01,0.00,0,0.05,130,0,382,2026-02-04,1.36119,-0.00126,0.00015,-0.02890,0.00085,-0.00002
AAPL260206C00210000,AAPL,2026-02-06,210.00,call,68.39,66.82,65.05,2,68.60,1,17,47,2026-02-04,1.86849,0.98027,0.00125,-0.47797,0.00980,0.01119
AAPL260206P00210000,AAPL,2026-02-06,210.00,put,0.01,0.01,0.00,0,0.02,4,45,1102,2026-02-04,1.25387,-0.00130,0.00017,-0.02738,0.00087,-0.00002
AAPL260206C00212500,AAPL,2026-02-06,212.50,call,40.72,64.17,62.25,2,66.10,1,0,10,2026-02-04,1.61484,0.98820,0.00093,-0.27520,0.00630,0.01146
AAPL260206P00212500,AAPL,2026-02-06,212.50,put,0.65,0.01,0.00,0,0.16,109,5,171,2026-02-04,1.20509,-0.00136,0.00018,-0.02748,0.00091,-0.00002
AAPL260206C00215000,AAPL,2026-02-06,215.00,call,59.84,61.80,60.00,1,63.60,1,1,30,2026-02-04,1.70264,0.98032,0.00137,-0.43698,0.00978,0.01147
AAPL260206P00215000,AAPL,2026-02-06,215.00,put,0.01,0.01,0.00,0,0.03,32,4,1076,2026-02-04,1.15631,-0.00142,0.00020,-0.02748,0.00095,-0.00002
AAPL260206C00217500,AAPL,2026-02-06,217.50,call,52.16,59.35,57.60,1,61.10,1,0,31,2026-02-04,1.68313,0.97670,0.00160,-0.49535,0.01127,0.01155
AAPL260206P00217500,AAPL,2026-02-06,217.50,put,0.00,0.01,0.00,0,0.50,229,0,1322,2026-02-04,1.10753,-0.00149,0.00021,-0.02738,0.00099,-0.00002
AAPL260206C00220000,AAPL,2026-02-06,220.00,call,58.00,56.80,55.05,1,58.55,1,5,159,2026-02-04,1.57582,0.97827,0.00161,-0.44004,0.01063,0.01171
AAPL260206P00220000,AAPL,2026-02-06,220.00,put,0.01,0.01,0.00,0,0.03,36,175,2469,2026-02-04,1.05875,-0.00155,0.00023,-0.02717,0.00103,-0.00002
AAPL260206C00222500,AAPL,2026-02-06,222.50,call,53.68,54.45,52.80,1,56.10,3,20,32,2026-02-04,1.62459,0.96914,0.00209,-0.60029,0.01426,0.01170
AAPL260206P00222500,AAPL,2026-02-06,222.50,put,0.01,0.01,0.00,0,0.03,34,33,543,2026-02-04,1.00998,-0.00161,0.00025,-0.02685,0.00107,-0.00002
AAPL260206C00225000,AAPL,2026-02-06,225.00,call,50.12,52.20,50.80,5,53.60,28,4,211,2026-02-04,1.70264,0.95540,0.00270,-0.84096,0.01926,0.01161
AAPL260206P00225000,AAPL,2026-02-06,225.00,put,0.02,0.01,0.00,0,0.08,57,24,1176,2026-02-04,0.96120,-0.00167,0.00027,-0.02641,0.00110,-0.00003
